item_id,provider,run_tag,target_object,task_family,required_change,expected_no_change,question,original_image_path,edited_image_path,original_raw_answer,edited_raw_answer,original_parsed_answer,edited_parsed_answer,original_parse_ok,edited_parse_ok,original_run_id,edited_run_id,flipped,parse_error_flag,image_mismatch_flag,patch_bbox_xyxy,target_bbox_xyxy,patch_target_mask_overlap_pixels,patch_bbox_intersects_object_bbox,patch_object_bbox_distance_px,detectability_score
sflip_table_ADE_train_00000377,qwen2_5_vl_7b,spurious,table,occlusion_safety,no_change,True,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_table_ADE_train_00000377.jpg,data/edits/spurious_flip_control/sflip_table_ADE_train_00000377.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard0,remaining_qwen2_5_vl_7b_spurious_shard0,True,False,False,"[35, 133, 212, 310]","[216, 184, 400, 407]",0,False,4.0,
sflip_sofa_ADE_train_00000704,qwen2_5_vl_7b,spurious,sofa,occlusion_safety,no_change,True,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_sofa_ADE_train_00000704.jpg,data/edits/spurious_flip_control/sflip_sofa_ADE_train_00000704.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[490, 63, 678, 251]","[485, 316, 756, 511]",0,False,65.0,0.12648
sflip_sofa_ADE_train_00000719,qwen2_5_vl_7b,spurious,sofa,occlusion_safety,no_change,True,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_sofa_ADE_train_00000719.jpg,data/edits/spurious_flip_control/sflip_sofa_ADE_train_00000719.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[406, 254, 595, 442]","[106, 287, 357, 395]",0,False,49.0,
sflip_chair_ADE_train_00000194,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000194.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000194.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[127, 7, 210, 90]","[0, 169, 206, 240]",0,False,79.0,
sflip_chair_ADE_train_00000617,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000617.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000617.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[182, 178, 365, 361]","[0, 298, 548, 511]",0,True,0.0,
sflip_chair_ADE_train_00000436,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000436.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000436.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard0,remaining_qwen2_5_vl_7b_spurious_shard0,True,False,False,"[187, 419, 364, 596]","[0, 459, 130, 681]",0,False,57.0,
sflip_chair_ADE_train_00000630,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000630.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000630.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard0,remaining_qwen2_5_vl_7b_spurious_shard0,True,False,False,"[150, 3, 327, 180]","[178, 454, 629, 511]",0,False,274.0,
sflip_chair_ADE_train_00000268,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000268.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000268.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[325, 283, 500, 458]","[43, 276, 298, 403]",0,False,27.0,
sflip_chair_ADE_train_00001105,qwen2_5_vl_7b,spurious,chair,occlusion_safety,no_change,True,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00001105.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00001105.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard0,remaining_qwen2_5_vl_7b_spurious_shard0,True,False,False,"[104, 225, 281, 402]","[536, 332, 683, 511]",0,False,255.0,
sflip_car_ADE_train_00002029,qwen2_5_vl_7b,spurious,car,occlusion_safety,no_change,True,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00002029.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00002029.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[338, 278, 504, 445]","[2, 124, 589, 326]",0,True,0.0,
sflip_car_ADE_train_00002034,qwen2_5_vl_7b,spurious,car,occlusion_safety,no_change,True,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00002034.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00002034.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard1,remaining_qwen2_5_vl_7b_spurious_shard1,True,False,False,"[321, 278, 509, 467]","[588, 243, 769, 347]",0,False,79.0,
sflip_car_ADE_train_00003061,qwen2_5_vl_7b,spurious,car,occlusion_safety,no_change,True,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00003061.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00003061.jpg,yes,no,yes,no,True,True,remaining_qwen2_5_vl_7b_spurious_shard0,remaining_qwen2_5_vl_7b_spurious_shard0,True,False,False,"[77, 41, 208, 170]","[368, 157, 497, 280]",0,False,160.0,0.13391
