item_id,target_object,question,original_image_path,spurious_image_path,qwen_original_raw,qwen_spurious_raw,qwen_original_parsed,qwen_spurious_parsed,codex_prelim_label,codex_prelim_confidence,human_valid_control,human_failure_cause,human_notes,human_reviewer_id,human_review_timestamp
sflip_table_ADE_train_00000377,table,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_table_ADE_train_00000377.jpg,data/edits/spurious_flip_control/sflip_table_ADE_train_00000377.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_sofa_ADE_train_00000704,sofa,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_sofa_ADE_train_00000704.jpg,data/edits/spurious_flip_control/sflip_sofa_ADE_train_00000704.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_TOO_SALIENT,MEDIUM,,,,,
sflip_sofa_ADE_train_00000719,sofa,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_sofa_ADE_train_00000719.jpg,data/edits/spurious_flip_control/sflip_sofa_ADE_train_00000719.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_chair_ADE_train_00000194,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000194.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000194.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_chair_ADE_train_00000617,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000617.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000617.jpg,yes,no,yes,no,CODEX_PRELIM_OBJECT_REGION_AFFECTED,MEDIUM,,,,,
sflip_chair_ADE_train_00000436,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000436.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000436.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_chair_ADE_train_00000630,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000630.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000630.jpg,yes,no,yes,no,CODEX_PRELIM_VALID_FAILURE,MEDIUM,,,,,
sflip_chair_ADE_train_00000268,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00000268.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00000268.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_chair_ADE_train_00001105,chair,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_chair_ADE_train_00001105.jpg,data/edits/spurious_flip_control/sflip_chair_ADE_train_00001105.jpg,yes,no,yes,no,CODEX_PRELIM_VALID_FAILURE,MEDIUM,,,,,
sflip_car_ADE_train_00002029,car,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00002029.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00002029.jpg,yes,no,yes,no,CODEX_PRELIM_OBJECT_REGION_AFFECTED,MEDIUM,,,,,
sflip_car_ADE_train_00002034,car,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00002034.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00002034.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_NEAR_TARGET,MEDIUM,,,,,
sflip_car_ADE_train_00003061,car,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,data/edits/spurious_flip_control/orig/sflip_car_ADE_train_00003061.jpg,data/edits/spurious_flip_control/sflip_car_ADE_train_00003061.jpg,yes,no,yes,no,CODEX_PRELIM_PATCH_TOO_SALIENT,MEDIUM,,,,,
