run_id,category,command,prerequisites,inputs,outputs,expected_runtime,memory_class,retry_policy,evidence_class,blocker_policy
baseline_validation,validation,python3 scripts/run_phase_b_cpu_workflows.py --out reports/kaggle_execution_pack/phase_b_cpu_validation,,pyproject.toml;scripts/run_phase_b_cpu_workflows.py,reports/kaggle_execution_pack/phase_b_cpu_validation/validation_results.json,30-90 minutes,medium,repair exact local failure without weakening guards; rerun sequentially,NON_EVIDENCE_VALIDATION,none
repository_kaggle_bundles,packaging,python3 -m certvic.cvpr.build_all_kaggle_inputs --local-only,baseline_validation,pyproject.toml;certvic/cvpr/build_all_kaggle_inputs.py,kaggle_uploads/00_code/certvic_code_bundle.zip;kaggle_uploads/00_code/certvic_notebooks_bundle.zip;kaggle_uploads/00_code/certvic_configs_bundle.zip;kaggle_uploads/00_code/certvic_execution_tools_bundle.zip;kaggle_uploads/00_code/certvic_synthetic_validation_bundle.zip,15-60 minutes,medium,rebuild sequentially and require byte-identical second build,NON_EVIDENCE_EXECUTION_ASSET,none
wheelhouse_preflight,dependency_preparation,python3 -m certvic.cvpr.wheelhouse_builder --mode LOCAL_VERIFY_ONLY --status,baseline_validation,requirements/kaggle_base.lock;requirements/kaggle_qwen.lock;requirements/kaggle_internvl.lock;requirements/kaggle_llava.lock;requirements/kaggle_generation.lock;requirements/kaggle_analysis.lock,kaggle_uploads/01_wheelhouse/certvic_offline_wheelhouse.zip.BUILDER_STATUS.json,15-45 minutes,low,verify only Linux CPython 3.10 wheels; never package macOS wheels,NON_EVIDENCE_RUNTIME_DEPENDENCY,none
snapshot_preflight_qwen,dependency_preparation,python3 -m certvic.cvpr.snapshot_bundle_builder --provider qwen2_5_vl_7b --status,baseline_validation,configs/models/certvic_cvpr_model_registry.yaml,kaggle_uploads/02_snapshots/qwen2_5_vl_7b_snapshot.zip.BUILDER_STATUS.json,under 5 minutes without bytes; 15-60 minutes with bytes,low,resume provider download then hash every file and run local-files-only smoke,NON_EVIDENCE_MODEL_DEPENDENCY,none
snapshot_preflight_internvl,dependency_preparation,python3 -m certvic.cvpr.snapshot_bundle_builder --provider internvl_8b --status,baseline_validation,configs/models/certvic_cvpr_model_registry.yaml,kaggle_uploads/02_snapshots/internvl2_8b_snapshot.zip.BUILDER_STATUS.json,under 5 minutes without bytes; 15-60 minutes with bytes,low,resume provider download then hash every file and run local-files-only smoke,NON_EVIDENCE_MODEL_DEPENDENCY,none
snapshot_preflight_llava,dependency_preparation,python3 -m certvic.cvpr.snapshot_bundle_builder --provider llava_onevision_7b --status,baseline_validation,configs/models/certvic_cvpr_model_registry.yaml,kaggle_uploads/02_snapshots/llava_onevision_7b_snapshot.zip.BUILDER_STATUS.json,under 5 minutes without bytes; 15-60 minutes with bytes,low,resume provider download then hash every file and run local-files-only smoke,NON_EVIDENCE_MODEL_DEPENDENCY,none
data_license_overlap_inventory,data_preparation,python3 scripts/run_all_cpu_workflows.py --internal data_inventory,baseline_validation,configs/data/source_license_registry.yaml,reports/cpu_execution/CERTVIC_DATA_AVAILABILITY.csv;reports/cpu_execution/CERTVIC_LICENSE_STATUS.csv;reports/cpu_execution/CERTVIC_SOURCE_OVERLAP_AUDIT.csv,under 5 minutes,low,repair registry schema; never infer or fabricate a license,NON_EVIDENCE_INVENTORY,none
first_gpu_wave_return_validation,import,python3 scripts/run_all_cpu_workflows.py --internal first_wave_returns,wheelhouse_preflight;snapshot_preflight_qwen;snapshot_preflight_internvl;snapshot_preflight_llava,data/runtime/00A_environment_bundle.zip;data/runtime/00B_qwen2_5_vl_7b_snapshot_bundle.zip;data/runtime/00B_internvl_8b_snapshot_bundle.zip;data/runtime/00B_llava_onevision_7b_snapshot_bundle.zip,data/runtime/00A_environment.json;data/runtime/00B_qwen2_5_vl_7b_snapshot.json;data/runtime/00B_internvl_8b_snapshot.json;data/runtime/00B_llava_onevision_7b_snapshot.json;reports/cpu_execution/first_gpu_wave_return_validation.json,under 10 minutes after all first-wave returns arrive,low,redownload corrupt ZIP; never rewrite a returned archive,NON_EVIDENCE_RUNTIME_VALIDATION,gpu_output
real_smoke_preparation,data_preparation,,data_license_overlap_inventory,local_inputs/smoke/real_smoke_tasks.jsonl,kaggle_uploads/03_smoke/certvic_real_two_item_smoke_bundle.zip,10-30 minutes after genuine inputs arrive,low,validate exactly two licensed real items and zero V1/V2 overlap,PROSPECTIVE_NON_EVIDENCE_SMOKE_INPUT,external_bytes
pre_smoke_permissions,authorization,,first_gpu_wave_return_validation;real_smoke_preparation,reports/cpu_execution/first_gpu_wave_return_validation.json;kaggle_uploads/03_smoke/certvic_real_two_item_smoke_bundle.zip,kaggle_uploads/04_permissions/certvic_pre_smoke_permissions.zip,5-30 minutes after all first-wave returns and real smoke input exist,low,"bind exact 00A, all three 00B, code, prompt, parser, run contract, and task bytes",AUTHORIZATION_ONLY,upstream_gate
confirmatory_source_preparation,data_preparation,,data_license_overlap_inventory,local_inputs/confirmatory/source_manifest.jsonl,kaggle_uploads/05_confirmatory/certvic_confirmatory_generation_input.zip,1-4 hours after licensed unseen data arrives,medium,preserve exclusions and deterministic seed/shard plan,PROSPECTIVE_CANDIDATE_INPUT,external_bytes
generated_edit_cpu_qa,qa,,confirmatory_source_preparation,local_inputs/provider_returns/specificity_confirmatory_cvpr/confirmatory_generation_return.zip,data/studies/specificity_confirmatory_cvpr/qa_candidates.jsonl,30 minutes-3 hours after GPU generation,medium,resume deterministic QA without inventing missing edits,DERIVED_FROM_PROSPECTIVE_GENERATION,gpu_output
review_packet_preparation,review_operations,,generated_edit_cpu_qa,data/studies/specificity_confirmatory_cvpr/qa_candidates.jsonl,data/studies/specificity_confirmatory_cvpr/review/review_packet_manifest.json,20-90 minutes after QA,low,regenerate blinded packet without reviewer identities or decisions,HUMAN_REVIEW_INPUT,upstream_gate
exact_selection,selection_detectability,,review_packet_preparation,data/studies/specificity_confirmatory_cvpr/review/final_inclusion.json,data/studies/specificity_confirmatory_cvpr/final_tasks.jsonl,5-60 minutes after genuine review,low,deterministic exact selection; preserve source caps and quotas,DERIVED_FROM_GENUINE_HUMAN_REVIEW,genuine_human_review
detectability_gate,selection_detectability,,exact_selection,data/studies/specificity_confirmatory_cvpr/final_tasks.jsonl,data/studies/specificity_confirmatory_cvpr/detectability_gate.json,15-90 minutes after exact selection,medium,grouped folds and bootstrap bound to exact selected bytes,PROSPECTIVE_GATE,upstream_gate
freeze_and_permissions,authorization,,detectability_gate,data/runtime/00A_environment.json;data/runtime/00B_qwen2_5_vl_7b_snapshot.json;data/runtime/00B_internvl_8b_snapshot.json;data/runtime/00B_llava_onevision_7b_snapshot.json;data/studies/specificity_confirmatory_cvpr/detectability_gate.json,data/studies/specificity_confirmatory_cvpr/execution_permission.json,5-30 minutes after all gates,low,issue only expiring hash-bound permissions from exact upstream artifacts,AUTHORIZATION_ONLY,upstream_gate
process_kaggle_returns,import,,freeze_and_permissions,local_inputs/provider_returns/specificity_confirmatory_cvpr/qwen2_5_vl_7b.zip;local_inputs/provider_returns/specificity_confirmatory_cvpr/internvl_8b.zip;local_inputs/provider_returns/specificity_confirmatory_cvpr/llava_onevision_7b.zip,data/studies/specificity_confirmatory_cvpr/canonical_import/study_import_audit.json,5-45 minutes per group,medium,recover journal then stage and promote all three atomically,CANONICAL_REAL_PROVIDER_RETURN,gpu_output
statistical_analysis,analysis,,process_kaggle_returns,data/studies/specificity_confirmatory_cvpr/canonical_import/study_import_audit.json,data/studies/specificity_confirmatory_cvpr/analysis/decision_trace.json,10-60 minutes per study,medium,preserve raw and filtered denominators and fail closed on missingness,DERIVED_FROM_REAL_EVIDENCE,upstream_gate
main_cpu_preparation,main_preparation,,statistical_analysis,data/studies/specificity_confirmatory_cvpr/analysis/decision_trace.json,kaggle_uploads/07_main/certvic_main_generation_input.zip,1-5 hours only after confirmatory decision,medium,do not authorize Main without confirmatory GO,CONDITIONAL_MAIN_INPUT,upstream_gate
coco_cpu_preparation,coco_preparation,,data_license_overlap_inventory,local_inputs/coco/instances_val2017.json,kaggle_uploads/09_coco/certvic_coco_generation_input.zip,1-3 hours after licensed COCO assets arrive,medium,remain feasibility-only and do not claim real COCO evidence,FEASIBILITY_ONLY_INPUT,external_bytes
runtime_upload_map,packaging,python3 -m certvic.cvpr.build_all_kaggle_inputs --local-only,repository_kaggle_bundles,certvic/cvpr/build_all_kaggle_inputs.py,reports/kaggle_execution_pack/CERTVIC_KAGGLE_RUNTIME_ESTIMATES.csv;reports/kaggle_execution_pack/CERTVIC_KAGGLE_RUNTIME_ESTIMATES.md;kaggle_uploads/CERTVIC_KAGGLE_UPLOAD_MANIFEST.csv;kaggle_uploads/CERTVIC_KAGGLE_DATASET_MAP.md,5-15 minutes,medium,deterministic rebuild and manifest reconciliation,NON_EVIDENCE_EXECUTION_PLAN,none
paper_evidence_and_release,paper_release,python3 scripts/run_phase_b_cpu_workflows.py --out reports/kaggle_execution_pack/phase_b_cpu_validation,baseline_validation;repository_kaggle_bundles,paper_cvpr/main.tex;scripts/build_maximum_ceiling_release.py,paper_cvpr/main.pdf;release/certvic_cvpr_pre_run_maximum.zip,15-60 minutes,medium,"compile twice, audit, clean-extract, and require byte-identical release rebuild",PRE_RUN_NON_EVIDENCE_RELEASE,none
refresh_release_lineage,paper_release,python3 scripts/refresh_kaggle_release_lineage.py --include-release,paper_evidence_and_release,release/certvic_cvpr_pre_run_maximum.zip;reports/max_ceiling_upgrade/artifact_registry.json,reports/max_ceiling_upgrade/artifact_registry.json,under 5 minutes,low,recompute content-addressed release identity and all affected parent references,PRE_RUN_NON_EVIDENCE_RELEASE,none
register_repository_bundles,packaging,python3 scripts/run_all_cpu_workflows.py --internal register_bundles,refresh_release_lineage,kaggle_uploads/00_code/certvic_code_bundle.zip;kaggle_uploads/00_code/certvic_notebooks_bundle.zip;kaggle_uploads/00_code/certvic_configs_bundle.zip;kaggle_uploads/00_code/certvic_execution_tools_bundle.zip;kaggle_uploads/00_code/certvic_synthetic_validation_bundle.zip,reports/max_ceiling_upgrade/artifact_registry.json,under 5 minutes,low,content-addressed idempotent registry addition then verify all registered bytes,PLANNED_NOT_EXECUTED,none
final_registry_verification,validation,python3 -m certvic.cvpr.artifact_registry verify,register_repository_bundles,reports/max_ceiling_upgrade/artifact_registry.json,reports/max_ceiling_upgrade/artifact_registry.json,under 5 minutes,low,repair exact missing or hash-mismatched artifact; never rewrite evidence identity,NON_EVIDENCE_VALIDATION,none
