area,change,evidence_boundary
smoke,canonical deterministic 00A 00B and ten-member 00C2 artifacts,NON_EVIDENCE_SMOKE_ONLY
portable_bundle,preflight worker rows runtime and ZIP bind one verified bundle hash,NO_REAL_TASK_BYTES_ADDED
sharding,one intentional logical smoke shard for T4x2 and single-GPU fallback,NO_RUNTIME_MEASUREMENT_CLAIM
permissions,immutable matrix plus three provider-local one-run child permissions,AUTHORIZATION_SOFTWARE_ONLY
provider_returns,portable permission event chain and authorization proof in each scientific ZIP,NO_REAL_PROVIDER_OUTPUTS_CREATED
identity,exact real-smoke to scientific snapshot environment code parser and processor equality,SYNTHETIC_CANNOT_AUTHORIZE_REAL
detectability,exact final manifest bundle task source edited placement family config and QA hashes,NO_REAL_GATE_RESULT_CREATED
import,recoverable two-phase promotion nonce evidence and gate ledger commit,SOFTWARE_TRANSACTION_PROOF_ONLY
main_design,1150 candidates with family and difficult-stratum buffers,FINAL_500_PLUS_125_QUOTAS_UNCHANGED
notebooks,00A 00B 00C2 and 02-04 11-13 21-23 regenerated,NOT_EXECUTED_ON_KAGGLE
release,new modules notebooks guides tests and reports included in deterministic clean extraction release,NO_DATASETS_WEIGHTS_OR_LABELS
