gate_name,exact_formula,frozen_threshold,source_specification,required_artifacts,current_result,status,uncertainty_treatment,prospective_or_retrospective,downstream_actions_enabled,reason_for_blockage
raw_pair_parse_completeness,"for each of 3 providers and 2 arms: rows=182, unique item-variant keys=182, parse_ok=182",6/6 canonical files complete with zero parse failures,docs/methodology/CERTVIC_PROSPECTIVE_ANALYSIS_SPEC_V11.md,six canonical main91/V1 raw prediction files,6/6 files have 182 rows and strict parse_ok throughout,FAIL,none; structural integrity gate,retrospective integrity audit of observed files,paired descriptive and inferential recomputation,"row, key, or parse completeness failed"
evidence_class_eligibility,human_reviewed=true and evidence class eligible under V11 policy,real blinded human review plus all policy gates,configs/certvic_v11_protocol.yaml#evidence_policy,V11 evidence ledger; completed reviewer/adjudication outputs,human_reviewed=0; all paper_claim_eligibility=false,BLOCKED,blank judgments are never imputed,current-state classification,internal pilot and diagnostic reporting only,historical machine-assisted labels are overridden; no real human review exists
historical_provider_revision_provenance,provider identity exact and immutable model/processor revision recorded,exact repository ID plus 40-character commit per run,configs/certvic_v11_protocol.yaml#models,raw prediction rows and runtime manifests,provider IDs validate; historical model_version is unpinned/unloaded,BLOCKED,not recoverable statistically,historical audit; prospective requirement for new runs,qualified historical pilot reporting only,exact historical revisions were not recorded
pilot_n_overall,n_overall >= min_n_overall,150,configs/certification_policy.yaml,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,91,FAIL,not applicable,prospective policy applied to pilot,descriptive pilot analysis only,91 < 150
pilot_n_by_family,min_f n_f >= min_n_by_family,40 per family,configs/certification_policy.yaml,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,support_stability=54; affordance_reachability=31; occlusion_safety=6,FAIL,not applicable,prospective policy applied to pilot,family-stratified descriptive reporting,two families are below 40
numeric_cs_gap,latest anytime-valid CS lower bound > 0.05,0.05,configs/certification_policy.yaml,three canonical main91 presence prediction files,qwen2_5_vl_7b=0.363958; internvl_8b=0.440881; llava_onevision_7b=0.330991,PASS_NUMERIC_ONLY,Hoeffding normal-mixture time-uniform confidence sequence,pre-existing estimator; V11 audit retrospective,report numerical crossings with qualification,"does not clear sample-size, review, or specificity gates"
v1_qwen_specificity,observed flips / 94 <= 0.10,0.10,configs/certvic_v11_protocol.yaml#historical_v1,data/results/main_real_200/kaggle_spurious/pred_qwen2_5_vl_7b_spurious_merged.jsonl,12/94=0.127660,FAIL,frozen observed-rate rule; intervals reported separately,historical frozen V1,model-dependent specificity hypothesis,observed flip rate exceeds 0.10
v1_internvl_specificity,observed flips / 94 <= 0.10,0.10,configs/certvic_v11_protocol.yaml#historical_v1,data/results/main_real_200/kaggle_spurious/pred_internvl_8b_spurious_merged.jsonl,1/94=0.010638,PASS_OBSERVED_RULE_ONLY,frozen observed-rate rule; intervals reported separately,historical frozen V1,qualified model-specific pilot statement,independent human validity review remains incomplete
v1_llava_specificity,observed flips / 94 <= 0.10,0.10,configs/certvic_v11_protocol.yaml#historical_v1,data/results/main_real_200/kaggle_spurious/pred_llava_onevision_7b_spurious_merged.jsonl,3/94=0.031915,PASS_OBSERVED_RULE_ONLY,frozen observed-rate rule; intervals reported separately,historical frozen V1,qualified model-specific pilot statement,independent human validity review remains incomplete
current_v2_independence,count(V2 item IDs intersect V1 item IDs) = 0,0 reused items,configs/certvic_v11_protocol.yaml#spurious_v2,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl; data/edits/spurious_v2_control/pilot_eval_tasks_reviewed.jsonl,30/30 reused,FAIL_DIAGNOSTIC_ONLY,not repaired by a statistical interval,retrospective post-V1 selection,retrospective sensitivity analysis only,all current V2 items were seen in V1
current_v2_objective_geometry,n=30; distance>=75 px; bbox overlap=false; target-mask overlap=0 for every item,all four conditions on 30/30 items,configs/certvic_v11_protocol.yaml#spurious_v2.current_set,data/edits/spurious_v2_control/pilot_eval_tasks_reviewed.jsonl,30/30 geometry-complete with frozen thresholds,PASS_DIAGNOSTIC_ONLY,deterministic geometry checks; semantics still require humans,retrospective post-outcome selected set,private retrospective diagnostic execution only,geometry cannot cure V1 reuse or post-outcome selection
current_v2_detectability_diagnostic,30/30 paired scores present; grouped-item symmetric AUC<=0.80,set AUC <= 0.80; historical per-item cap 0.12 was incompletely observed,configs/certvic_v11_protocol.yaml#spurious_v2,V2 task manifest; V11 grouped detectability summary,scores=30/30; max=0.12004629; AUC=0.6922,PASS_SET_LEVEL_DIAGNOSTIC_ONLY,grouped folds by item; symmetric AUC; no retroactive exclusions,"post-selection, pre-provider retrospective diagnostic",diagnostic reporting only,26/30 original selector scores were missing and the current maximum slightly exceeds 0.12
prospective_v2_primary,one-sided CP upper bound(alpha=0.05) <= 0.10,0.10,configs/certvic_v11_protocol.yaml#spurious_v2.primary_decision,independent unseen controls; Qwen outputs; completed pre-unblinding review,no independent set and no V2 provider outputs,BLOCKED,"one-sided Clopper-Pearson, missing/unparseable pairs count as flips",prospective,none,"missing independent items, outputs, and human review"
prospective_v2_three_model_joint,for all 3 models: one-sided CP upper bound at alpha=0.05/3 <= 0.10,each of three upper bounds <=0.10,configs/certvic_v11_protocol.yaml#spurious_v2.three_model_joint_claim,independent set; three complete imported outputs; pre-unblinding review,0/3 provider outputs present,BLOCKED,Bonferroni one-sided Clopper-Pearson; missing pairs count as flips,prospective,none,"independent set, review, revisions, and all provider outputs are absent"
v2_output_and_import_completeness,3 archives pass schema-v3 hashes/revisions and each yields exactly 60 unique rows,3/3 valid archives; 180/180 rows; transactional conflict-free import,scripts/import_v9_spurious_v2_outputs.py,three provider prediction archives and runtime manifests,0/3 canonical provider outputs present; importer implemented but not run on real V2 outputs,BLOCKED,missing/unparseable rows fail closed,prospective operational gate,synthetic importer regression tests only,real V2 outputs do not exist
v2_model_revision_lock,every notebook MODEL_REVISION matches a 40-character immutable commit and runtime manifest,3/3 exact revisions,configs/certvic_v11_protocol.yaml#models,three V2 notebooks; runtime manifests,0/3 revisions filled; notebooks retain MODEL_REVISION=None,BLOCKED,none; exact identity requirement,prospective before GPU execution,static validation only,immutable model and processor revisions are unresolved
v2_notebook_static_contract,"all six VLM notebooks pass provider, T4x2, fallback, resume, merge, hash, schema, and no-output checks",6/6 static pass,scripts/validate_t4x2_notebooks.py,six provider notebooks; static validation JSON,6/6 static pass,PASS_STATIC_ONLY,static inspection only; no notebook execution claim,pre-execution operational gate,private execution after revisions/review are supplied,"static pass does not supply revisions, outputs, or human approval"
v2_private_package_integrity,task_rows=30; image_entries=60; every member size/hash matches manifest; deterministic ZIP,all package locks pass,data/edits/spurious_v2_control/bundle_manifest.json,"V2 task, manifest, 60 images, private ZIP",task_rows=30; image_entries=60,PASS_PRIVATE_PACKAGE,byte-level hashes and fixed ZIP metadata,current private execution package,private diagnostic upload only,image redistribution license is unresolved; package is not a public release
human_validity,two independent blinded raters complete required fields before output unblinding,2 raters plus adjudication,configs/certvic_v11_protocol.yaml,reviewer sheets; codebook; agreement report; adjudication log,assistant_visual_review_v1 only; independent sheet blank,BLOCKED,report agreement and Cohen kappa; never impute blank judgments,must precede new output unblinding,none,real independent human judgments are absent
main500_go,all formal go_requirements in V11 protocol are true,all prerequisites,configs/certvic_v11_protocol.yaml#main500,specificity sign-off; review; importer; quality gates; pinned revisions,execution_allowed_now=false,BLOCKED,not applicable before execution,prospective,design and acquisition planning only,multiple mandatory prerequisites remain false
paper_bibliography_and_novelty_sources,bibliography present and every novelty/priority statement anchored to verified primary sources,complete source-backed related work and bibliography,paper/main_v11.tex; PAPER_AND_NOVELTY_AUDIT.md,paper bibliography and verified literature matrix,no paper bibliography present,BLOCKED,not applicable,submission-readiness gate,internal draft only,bibliography and primary-source novelty audit are absent
public_release_license,project license present and every bundled data/image asset has redistribution permission,license plus asset-level redistribution clearance,REPRODUCIBILITY_AND_RELEASE_AUDIT.md,repository license; source-dataset license decisions; release manifest,no repository license; ADE-derived images private,BLOCKED,legal/data-governance decision; no inference,release gate,private coordination and pointer-only planning,project license and authoritative image redistribution clearance are missing
