model,ablation,decision,status,analysis_class
qwen2_5_vl_7b,no_specificity_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,no_responsiveness_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,no_multiplicity_correction,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,no_human_validity_filter,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,with_genuine_human_validity_filter,,BLOCKED_NO_GENUINE_HUMAN_FILTER,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,complete_case_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,fail_closed_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,point_estimate_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,exact_ci_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,confidence_sequence_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
qwen2_5_vl_7b,joint_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,no_specificity_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,no_responsiveness_gate,True,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,no_multiplicity_correction,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,no_human_validity_filter,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,with_genuine_human_validity_filter,,BLOCKED_NO_GENUINE_HUMAN_FILTER,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,complete_case_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,fail_closed_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,point_estimate_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,exact_ci_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,confidence_sequence_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
internvl_8b,joint_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,no_specificity_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,no_responsiveness_gate,True,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,no_multiplicity_correction,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,no_human_validity_filter,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,with_genuine_human_validity_filter,,BLOCKED_NO_GENUINE_HUMAN_FILTER,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,complete_case_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,fail_closed_parser_handling,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,point_estimate_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,exact_ci_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,confidence_sequence_only,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
llava_onevision_7b,joint_gate,False,COMPUTED,RETROSPECTIVE_DIAGNOSTIC
