artifact_path,change_type,problem,change,validation,paper_evidence
scripts/build_v11_full_ceiling_audit.py,created,No single deterministic authoritative audit builder.,"Added local evidence discovery, ledgers, statistics, hashes, and required reports.",tests/test_v11_full_ceiling_audit.py,False
tests/test_v11_full_ceiling_audit.py,created,V11 report and evidence contracts were unenforced.,"Added schema, vocabulary, claim-boundary, Main-500, and privacy tests.",focused pytest,False
configs/certvic_v11_protocol.yaml,created/updated,Prospective rules and stale embedded labels were ambiguous.,Locked V1/V2/Main500 decisions and hash-preserving evidence overrides.,ledger and claim-boundary tests,False
paper/main_v11.tex,created,Prior paper scaffold did not reflect current evidence boundaries.,Added evidence-safe pilot draft with explicit blockers and retrospective V2 status.,pdflatex plus rendered-page visual inspection,False
scripts/import_v9_spurious_v2_outputs.py,created/updated,V2 import could accept under-specified or stale inputs.,"Added v3 manifest, exact revision/hash/key checks, transactionality, and conflict refusal.",tests/test_v9_spurious_v2_ingest_decision.py,False
scripts/build_spurious_v2_control.py,created/updated,V2 packages lacked a complete deterministic contract and could truncate canonical outputs after an empty selection.,"Added deterministic ZIP metadata, per-image hashes, fail-closed notebook generation, and a frozen-count preflight before writes.",V2 builder and runbook tests,False
scripts/build_remaining_kaggle_runbooks.py,created/updated,Runtime metadata did not pin every input and whole-directory cleanup deleted the independently owned V2 package.,Added exact revision/hash requirements plus owned-file cleanup and explicit aggregate-ZIP membership.,remaining runbook tests,False
scripts/build_v8_1_qwen_spurious_forensics.py,created/updated,Missing external ADE annotations silently degraded frozen geometry and caused downstream canonical corruption.,Validated exact frozen geometry coverage and current image-difference boxes before explicitly labeled derived-cache reuse.,V8.1 forensic and full-suite order-dependency regressions,False
scripts/pilot_report_from_raw.py,created/updated,Wall-clock report timestamps caused deterministic test rebuilds to churn canonical hashes.,Derived the report timestamp from immutable source prediction timestamps and corrected certification prose.,V8 upgrade and full-suite determinism checks,False
scripts/build_main200_paper_tables.py,created/updated,Legacy tables conflated numeric CS threshold crossing with full policy certification.,Separated CS-threshold and full-certification fields and regenerated claim-safe prose.,V7 paper-table tests and claim guard,False
certvic/v7/v7_post3model_final_audit.py,created/updated,Legacy final-audit notes called three pilot runs fully certified and routed the next action toward rerunning outputs.,Recorded partial multi-model evidence and prioritized blinded review plus an independent outcome-unseen control.,V7 final-audit tests,False
scripts/validate_t4x2_notebooks.py,created/updated,Static checks did not cover the complete V11 notebook contract.,"Added provider, dual-device, schema, hash, revision, and row-contract checks.",notebook static validation,False
certvic/validation/claims.py,created/updated,Claim status could blur non-evidence blockers.,Made blocked and non-evidence claim states explicit.,claim validation tests,False
certvic/metrics/report_metrics.py,created/updated,Report generation could expose a numerical crossing without all policy gates.,Routed certification through the complete policy.,certification tests,False
certvic/v7/spurious_control_integration.py,created/updated,Missing review state was not uniformly fail-closed.,Blocked integration when independent review is absent.,V7 integration tests,False
certvic/eval/presence_semantics.py,created/updated,Raw answer changes were not separated from correct semantic updates.,Added explicit presence-update semantics.,parser and reporting tests,False
scripts/build_prompt_ablation_tasks.py,created/updated,Alternating source answers corrupted ablation gold polarity.,Normalized source presence before changing answer format.,prompt-ablation tests,False
scripts/build_mechanism_probe_tasks.py,created/updated,Alternating source answers corrupted mechanism-probe gold polarity.,Normalized source presence before constructing probes.,mechanism-probe tests,False
certvic/validation/edit_detectability.py,created/updated,Variant leakage and AUC orientation distorted detectability diagnostics.,Grouped folds by item and reported symmetric separability AUC.,detectability tests,False
scripts/build_v11_human_review_packet.py,created/updated,No outcome-blind portable two-rater review packet existed.,Built four deterministic blinded tracks with separate coordinator keys.,human-review packet tests,False
scripts/validate_v11_human_review.py,created/updated,Blank or malformed reviewer sheets needed a fail-closed validator.,"Added completion, provenance, agreement, and adjudication validation.",human-review packet tests,False
scripts/rebuild_v11_supported_analysis.py,created/updated,Supported numerical claims lacked one fail-closed deterministic rebuild command.,"Added strict pair validation, semantic updates, V1 gates, paired tests, forensics, and prospective planning tables.",V11 supported-analysis tests,False
README.md,created/updated,Top-level status still described real pilot evidence as future work.,Replaced stale planning language with the verified V11 evidence boundary and exact next gates.,claim-language guard,False
certvic/validation/claim_language_guard.py,created/updated,The CLI reported findings but returned success.,Made forbidden claim findings produce a nonzero exit code.,claim-language CLI regression tests,False
docs/methodology/CERTVIC_PROSPECTIVE_ANALYSIS_SPEC_V11.md,created/updated,Estimands and prospective decisions were spread across historical documents.,Consolidated the V11 analysis and missing-data contract.,claim audit,False
"certvic/, scripts/, tests/ (safe Ruff mechanical sweep)",mechanical cleanup,"Repo-wide lint contained unused imports, ambiguous names, and unused assignments.",Applied safe Ruff fixes and narrow manual cleanups without changing raw evidence.,python3 -m ruff check --no-cache certvic scripts tests plus full pytest,False
notebooks/kaggle/vlm_qwen2_5_vl_7b_spurious_v2_T4x2.ipynb,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
notebooks/kaggle/vlm_internvl_8b_spurious_v2_T4x2.ipynb,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
notebooks/kaggle/vlm_llava_onevision_7b_spurious_v2_T4x2.ipynb,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
data/edits/spurious_v2_control/bundle_manifest.json,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
dist/kaggle_remaining_runs/certvic_spurious_v2_control.zip,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
reports/v11_full_ceiling_audit/human_review_packet,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
output/pdf/certvic_v11_evidence_safe_draft.pdf,regenerated,Execution artifact needed to reflect the V11 fail-closed contract.,Regenerated deterministically from current builders.,notebook/package static checks,False
reports/v11_full_ceiling_audit/CERTVIC_BLOCKER_REGISTER.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_CANONICAL_ARTIFACT_INDEX.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_CLAIM_LEDGER.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_EVIDENCE_LEDGER.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_EVIDENCE_LEDGER.json,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_GATE_LEDGER.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_REPOSITORY_FORENSIC_INVENTORY.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/CERTVIC_V11_MASTER_HANDOFF.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/HUMAN_REVIEW_OPERATIONS_AND_BLINDING.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/MAIN500_DESIGN_LOCK_AND_GO_NOGO.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/MODEL_MATRIX_DECISION.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/PAPER_AND_NOVELTY_AUDIT.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/QWEN_12_FAILURE_FORENSIC_AUDIT.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/REPRODUCIBILITY_AND_RELEASE_AUDIT.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/REVIEWER_RED_TEAM_V11.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SCIENTIFIC_VALIDITY_AUDIT.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SECOND_DOMAIN_DECISION.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SOFTWARE_VALIDATION_AND_REPAIR_REPORT.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SPURIOUS_V2_AND_V2_LARGE_READINESS.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SPURIOUS_V2_EXECUTION_CARD.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/SPURIOUS_V2_LOCAL_CANDIDATE_INVENTORY.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/STATISTICAL_AUDIT_AND_POWER_PLAN.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/V11_AUDIT_SESSION_MANIFEST.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/V11_CHANGE_MANIFEST.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/V11_COMMAND_AND_EXIT_CODE_LOG.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/V11_FINAL_VALIDATION.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/V11_PAIRED_COMPARISONS.csv,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/VENUE_CEILING_AND_RESEARCH_ROADMAP.md,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
reports/v11_full_ceiling_audit/notebook_static_validation.json,generated,Required V11 audit surface absent or stale.,Generated from canonical local artifacts.,V11 report contract test,False
