candidate_source,item_id,category,target_class,edit_type,feasibility,duplicate_risk,expected_answer_stability,available_masks_or_boxes,distance_px,target_bbox_overlap,target_mask_overlap_pixels,detectability_score,v11_post_selection_detectability_score,decision,reason,prospective_confirmatory_eligible,evidence_class,paper_evidence
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000279,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",58.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000220,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",65.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000231,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",0.0,True,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,patch_bbox_intersects_target_bbox;distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000219,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",13.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000365,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",67.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000233,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",90.0,False,0,0.11985,0.12004629,retained_retrospective_diagnostic,passes_retrospective_geometry_and_available_salience_fields,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000196,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",242.0,False,0,MISSING,0.07699379,retained_retrospective_diagnostic,passes_retrospective_geometry_and_available_salience_fields,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000480,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",13.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000485,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",14.0,False,0,MISSING,NOT_SELECTED,rejected_by_retrospective_rule,distance_below_75_px,False,DIAGNOSTIC_ONLY,False
data/results/main_real_200/v8_1_qwen_spurious_forensics/qwen_spurious_all_items.jsonl,sflip_table_ADE_train_00000384,occlusion_safety,table,control_irrelevant,local_original_and_control_images_available,high_reuses_v1_item,task_declares_no_change_human_review_pending,"patch_bbox,target_bbox,target_mask_overlap_count",138.0,False,0,0.09787,0.09788096,retained_retrospective_diagnostic,passes_retrospective_geometry_and_available_salience_fields,False,DIAGNOSTIC_ONLY,False
