phase,command,exit,result
baseline,python3 -m pytest -q (pre-closure baseline),0,774 passed in 36.12s
focused,python3 -m pytest -q tests/test_cvpr_execution_closure.py tests/test_cvpr_runtime_hardening.py tests/test_cvpr_pre_execution.py tests/test_v7_second_domain.py,0,43 passed in 2.97s
full,python3 -m pytest -q,0,786 passed in 35.01s
lint,python3 -m ruff check --no-cache certvic scripts tests,0,All checks passed
compile,python3 -m compileall -q certvic scripts,0,clean
notebooks,python3 -m certvic.cvpr.notebook_validation --root notebooks/kaggle/cvpr,0,"16 expected, 16 observed, 16 passed"
synthetic,python3 -m certvic.cvpr.synthetic_study --out-dir <EMPTY_DIR>,0,SYNTHETIC_END_TO_END_FIXTURE_COMPLETE
claims,python3 -m certvic.validation.claim_language_guard --root README.md docs paper paper_cvpr reports/cvpr_pre_execution reports/cvpr_runtime_hardening reports/cvpr_execution_closure,0,0 findings; passed
privacy,python3 -m certvic.security.release_privacy_audit --root .,0,0 findings; passed
paper,cd paper_cvpr && pdflatex -interaction=nonstopmode -halt-on-error main.tex,0,3-page PDF built
release,python3 scripts/build_cvpr_execution_closure.py,0,byte-identical double rebuild and clean-extraction fixture passed
release_audit,python3 scripts/audit_cvpr_execution_closure_release.py,0,"membership, byte hashes, weight exclusion, and synthetic-pixel policy passed"
git,git diff --check,NOT_APPLICABLE,checkout root is not a Git worktree
