blind_order,blind_pair_id,image_a,image_b,question,prompt_unambiguous,image_answerable,target_visible_a,target_visible_b,target_unaffected,expected_answer_relation_valid,expected_answer_unchanged,perturbation_acceptable,artifact_severity,retention_decision,confidence,notes,reviewer_code,reviewed_at_utc
1,CV11-C-F546E15365ACA18F,images/CV11-C-F546E15365ACA18F_A.jpg,images/CV11-C-F546E15365ACA18F_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
2,CV11-C-F9DC5FB8296512B8,images/CV11-C-F9DC5FB8296512B8_A.jpg,images/CV11-C-F9DC5FB8296512B8_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
3,CV11-C-DF0228AA67FF62C9,images/CV11-C-DF0228AA67FF62C9_A.jpg,images/CV11-C-DF0228AA67FF62C9_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
4,CV11-C-CC74B0C8B5DB6155,images/CV11-C-CC74B0C8B5DB6155_A.jpg,images/CV11-C-CC74B0C8B5DB6155_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
5,CV11-C-0BA6CDA9170BDA31,images/CV11-C-0BA6CDA9170BDA31_A.jpg,images/CV11-C-0BA6CDA9170BDA31_B.jpg,Is there a clearly visible car in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
6,CV11-C-F0CCAD5F61B71E19,images/CV11-C-F0CCAD5F61B71E19_A.jpg,images/CV11-C-F0CCAD5F61B71E19_B.jpg,Is there a clearly visible sofa in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
7,CV11-C-4776D5490142A2F0,images/CV11-C-4776D5490142A2F0_A.jpg,images/CV11-C-4776D5490142A2F0_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
8,CV11-C-EFA4F901C3786735,images/CV11-C-EFA4F901C3786735_A.jpg,images/CV11-C-EFA4F901C3786735_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
9,CV11-C-549B9E603DCC09D1,images/CV11-C-549B9E603DCC09D1_A.jpg,images/CV11-C-549B9E603DCC09D1_B.jpg,Is there a clearly visible table in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
10,CV11-C-451B954681ECFCBF,images/CV11-C-451B954681ECFCBF_A.jpg,images/CV11-C-451B954681ECFCBF_B.jpg,Is there a clearly visible chair in the image? Respond with exactly one token: yes or no.,,,,,,,,,,,,,,
