artifact_id,artifact_path,experiment_family,model_provider,dataset_domain,run_tag,item_count,evidence_class,raw_or_derived_status,upstream_source,sha256,timestamp,validation_status,paper_claim_eligibility,paper_evidence,diagnostic_only,human_reviewed,known_limitations,canonical_status
main91_task_manifest,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,intervention_pilot,all,ADE20K/household,main_real_200_reviewed_v2,91,MACHINE_ASSISTED_PRELIMINARY,input_manifest,data/results/main_real_200/visual_review_completed.csv,5e685d8f036f788ed6056dc74e907b40e6d20d3f5dc09ffb1585088dc41abe4e,2026-06-24T07:35:25.636879+00:00,hash and 91 unique item IDs verified; embedded historical review label superseded,False,False,False,False,Completed by assistant_visual_review_v1; independent rater sheet is blank.,canonical_with_v11_override
main91_taskitems,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,intervention_pilot,all,ADE20K/household,main_real_200_taskitems_v2,91,MACHINE_ASSISTED_PRELIMINARY,input_manifest,data/results/main_real_200/pilot_eval_tasks_reviewed_v2.jsonl,ffb3f1918634d3c764ad98518ee5ae82f99057a9fd25f581378b736b8cbff0b4,2026-06-24T07:35:25.836553+00:00,hash and row count verified; embedded historical review label superseded,False,False,False,False,Validity decisions have not completed independent human review.,canonical_with_v11_override
v1_specificity_tasks,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl,spurious_v1,all,ADE20K/household,spurious_flip_control_v1,94,MACHINE_ASSISTED_PRELIMINARY,input_manifest,data/edits/spurious_flip_control,a75f9fb8c067baa9eb9bff0f9d5772d67ff9298749addf87d4395c54956486cd,2026-06-24T19:16:03.271395+00:00,94 unique item IDs and 188 paired images verified; embedded review label superseded,False,False,False,False,Objective checks do not replace blinded human validity review.,canonical_with_v11_override
main91_presence_qwen2_5_vl_7b,data/results/main_real_200/raw_predictions/presence__pred_qwen2_5_vl_7b_merged.jsonl,intervention_pilot,qwen2_5_vl_7b,ADE20K/household,main200_qwen2_5_vl_7b_shard0,91,REAL_OBSERVED_EVIDENCE,raw_model_output,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,becb2b59f6a4199fa8a1fb319a07ff78a7c84ab4d3c72c9da087f4e9e1353954,2026-06-24T02:20:34+00:00,182 rows; 91 complete original/edited pairs; strict parse complete,False,False,False,False,Exact model repository revision was not recorded; item validity remains pending human review.,canonical_raw
v1_specificity_qwen2_5_vl_7b,data/results/main_real_200/kaggle_spurious/pred_qwen2_5_vl_7b_spurious_merged.jsonl,spurious_v1,qwen2_5_vl_7b,ADE20K/household,remaining_qwen2_5_vl_7b_spurious_shard0,94,REAL_OBSERVED_EVIDENCE,raw_model_output,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl,4be34d6826587eca851855c2f407e6b82964a83ca47ae6fe2a64831d809a8049,2026-07-08T08:24:26.105365+00:00,188 rows; 94 complete original/edited pairs; strict parse complete,False,False,False,False,Historical model revision is unpinned and control validity review is incomplete.,canonical_raw
pilot_report_qwen2_5_vl_7b,data/results/main_real_200/pilot_report/pilot_result.json,intervention_pilot,qwen2_5_vl_7b,ADE20K/household,v11_recomputed_report,91,DERIVED_FROM_REAL_EVIDENCE,derived_statistics,data/results/main_real_200/raw_predictions/presence__pred_qwen2_5_vl_7b_merged.jsonl,975442ddb877f9800a0685a7efa1e0473b256ec380c040cfae63a9c6e4cce78e,2026-07-12T03:34:44.602659+00:00,raw-pair metrics and confidence-sequence values cross-checked,False,False,False,False,Numeric threshold crossing is not full scientific certification.,canonical_derived
main91_presence_internvl_8b,data/results/main_real_200/raw_predictions__internvl_8b/presence__pred_internvl_8b_presence_merged.jsonl,intervention_pilot,internvl_8b,ADE20K/household,main200_internvl_8b_presence,91,REAL_OBSERVED_EVIDENCE,raw_model_output,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,34ff7244fac79006408b4ba500afca5551a3d3c6f997c4098e0913423f8882e7,2026-06-24T11:44:58+00:00,182 rows; 91 complete original/edited pairs; strict parse complete,False,False,False,False,Exact model repository revision was not recorded; item validity remains pending human review.,canonical_raw
v1_specificity_internvl_8b,data/results/main_real_200/kaggle_spurious/pred_internvl_8b_spurious_merged.jsonl,spurious_v1,internvl_8b,ADE20K/household,remaining_internvl_8b_spurious_shard0,94,REAL_OBSERVED_EVIDENCE,raw_model_output,data/edits/spurious_flip_control/pilot_eval_tasks_reviewed.jsonl,68712ead859aeb1d3e93a0926a5650701cd06f8db7e995f11fa4a4a2fc6781fd,2026-07-08T08:37:26.951977+00:00,188 rows; 94 complete original/edited pairs; strict parse complete,False,False,False,False,Historical model revision is unpinned and control validity review is incomplete.,canonical_raw
pilot_report_internvl_8b,data/results/main_real_200/pilot_report__internvl_8b/pilot_result.json,intervention_pilot,internvl_8b,ADE20K/household,v11_recomputed_report,91,DERIVED_FROM_REAL_EVIDENCE,derived_statistics,data/results/main_real_200/raw_predictions__internvl_8b/presence__pred_internvl_8b_presence_merged.jsonl,af49a880426dd3710394fd4a1d1ca2ba71ddb67cd67000fc81c7704271d513f4,2026-07-12T03:34:44.810926+00:00,raw-pair metrics and confidence-sequence values cross-checked,False,False,False,False,Numeric threshold crossing is not full scientific certification.,canonical_derived
main91_presence_llava_onevision_7b,data/results/main_real_200/raw_predictions__llava_onevision_7b/presence__pred_llava_onevision_7b_presence_merged.jsonl,intervention_pilot,llava_onevision_7b,ADE20K/household,main200_llava_onevision_7b_presence,91,REAL_OBSERVED_EVIDENCE,raw_model_output,data/results/main_real_200/pilot_eval_taskitems_v2.jsonl,10900a3c992fbc5cfc1d578609ab562a26c6c212a268b874745ffc742e7a588f,2026-06-24T12:56:14+00:00,182 rows; 91 complete original/edited pairs; strict parse complete,False,False,False,False,Exact model repository revision was not recorded; item validity remains pending human review.,canonical_raw
